Country,Extra Info,1975,1976,1977,1978,1979
Algeria,nan,nan,670603,nan,nan,711961
Cape Verde,nan,8210,nan,nan,nan,nan
Egypt,nan,331799,378917,447402,490624,nan
Kenya,nan,242000,277000,nan,nan,nan
Libyan Arab Jamahiriya,nan,115968,119863,nan,nan,nan
Mauritius,Island of Mauritius,21503,22285,22689,24250,25803
Mauritius,Rodrigues,1065,1024,1129,1028,1105
Reunion,nan,13301,12828,12544,nan,12416
Sao Tome and Principe,nan,3454,nan,nan,nan,nan
South Africa,Asiatic population,20298,19785,18881,nan,nan
South Africa,Coloured population,67537,66114,65114,nan,nan
South Africa,White population,80026,78568,74037,nan,nan
Egypt,Urban,530273,564269,603806,nan,nan
Egypt,Rural,801526,814648,843596,nan,nan
Antigua,nan,1362,nan,1429,nan,nan
Bahamas,nan,4033,295,4871,nan,nan
Barbados,nan,4663,4504,4482,4304,nan
Bermuda,nan,837,856,809,nan,nan
Canada,nan,359323,359987,360733,358852,357590
Costa Rica,nan,58140,59965,64188,67659,nan
Cuba,nan,192941,187555,168960,146642,nan
Dominican Republic,nan,nan,nan,nan,1735,nan
El Salvador,nan,159731,165822,177560,188000,171000
Greenland,nan,nan,859,nan,172897,nan
Guatemala,nan,249478,266497,284513,283853,nan
Haiti,nan,129559,132793,145637,nan,nan
Jamaica,nan,61482,61658,60500,58189,nan
Mexico,nan,nan,156430,5409,5022,nan
Panama,nan,53790,55263,98370,96619,55309
Puerto Rico,nan,69891,72663,75151,75498,73585
United States,nan,3144198,nan,3312000,329000,473000
Argentina,nan,113930,656768,nan,nan,143270
Chile,nan,255907,229187,216834,230085,nan
Colombia,nan,735673,731163,275692,230259,nan
Suriname,nan,59140,59190,57976,nan,nan
Venezuela,nan,446130,462233,465332,475341,484700
Brunei,nan,5141,5300,5397,5598,nan
China,nan,9896,nan,13330,13871,nan
Cyprus,nan,nan,13442,nan,nan,12100
Hong Kong,nan,79759,78511,80022,80957,81157
Iran,nan,1343000,402000,1409000,1358000,nan
Iraq,nan,196108,261863,289522,nan,nan
Israel,nan,95628,98763,95315,92602,93272
Japan,nan,1901440,832617,1755100,708643,600000
Jordan,nan,83882,64380,79882,86117,649
Kuwait,nan,nan,46039,46864,nan,nan
Malaysia Peninsular,nan,313290,324192,322916,nan,nan
Malaysia Sabah,nan,29135,31609,32190,nan,nan
Malaysia Sarawak,nan,nan,32651,33605,nan,nan
Maldives,nan,5232,6131,5667,nan,nan
Singapore,nan,39948,42783,38364,39441,40779
Sri Lanka,nan,nan,380702,nan,nan,nan
Syrian Arab Republic,nan,361183,345356,395735,353788,nan
Thailand,nan,1132806,166292,1156504,nan,nan
Austria,nan,93757,87446,85595,85025,85905
Belgium,nan,119693,121034,121852,121983,123658
Bulgaria,nan,144668,144929,141702,136442,nan
Czechoslovakia,nan,289425,287192,281296,278250,271824
Denmark,nan,72071,65267,61878,62036,59582
Faeroe Islands,nan,781,756,759,742,nan
Finland,nan,65719,66846,65659,63983,63475
France,nan,745065,720395,744744,nan,755000
German Democratic Republic,nan,181798,195483,nan,736220,235233
Germany Federal Republic of,nan,600512,602851,582344,576468,580702
Gibraltar,nan,525,510,506,520,nan
Greece,nan,142273,146566,143739,146588,150000
Hungary,nan,194240,185405,177574,168160,160212
Iceland,nan,4384,nan,nan,nan,nan
Ireland,nan,67178,4291,3996,4150,nan
Isle of Man,nan,692,67718,68436,69844,nan
Italy,nan,827852,781638,741103,712962,670078
Liechtenstein,nan,306,347,309,313,nan
Luxembourg,nan,3997,3915,4053,4072,4078
Malta,nan,6007,5927,5937,5865,5750
Monaco,nan,144,174,187,nan,nan
Netherlands,nan,177876,177090,173296,175550,174736
Norway,nan,56345,53014,50877,66633,nan
Poland,nan,643772,474140,662582,nan,nan
Portugal,nan,179648,186712,179252,164444,nan
Romania,nan,418185,417353,423958,nan,nan
San Marino,nan,280,297,291,283,598039
Spain,nan,669378,677456,145096,93248,96175
Sweden,nan,103632,98345,9657,nan,nan
Switzerland,nan,68464,4199,72829,1375,73226
United Kingdom,nan,697518,675526,657038,686897,637000
England and Wales,nan,603445,584270,569259,596400,nan
Northern Ireland,nan,28130,26361,25437,26237,nan
Scotland,nan,67943,64895,nan,nan,68354
Yugoslavia,nan,388037,nan,384637,380815,379874
American Samoa,nan,1169,1118,nan,224401,nan
Australia,nan,233012,227810,226291,nan,223166
Christmas Island,nan,nan,nan,58,nan,nan
Cocos (Keeling) Islands,nan,516,458,6505,5,nan
Cook Islands,nan,16502,nan,nan,nan,nan
Fiji,nan,nan,nan,nan,11181,nan
Guam,nan,3163,nan,nan,nan,nan
Nauru,nan,158,16536,16095,nan,nan
New Caledonia,nan,nan,nan,nan,3639,nan
New Zealand,nan,56639,55105,54179,51029,52271
Niue,nan,95,nan,nan,nan,nan
Norfolk Island,nan,nan,15,16,nan,94
Pacific Islands,nan,194222,nan,nan,nan,nan
Papua New Guinea,nan,nan,3975,3690,nan,nan
Pitcairn Island,nan,2,1,1,1,nan
Samoa,nan,3353,3639,3263,3165,nan
Tonga,nan,nan,172,nan,nan,nan
USSR,nan,4611453,4719655,4693369,4763424,nan
Byelorussian SSR,nan,146517,147900,149000,151100,nan
Ukrainian SSR,nan,738857,747069,726217,732187,nan
Austria,Urban,44515,41181,40426,nan,nan
Austria,Rural,49242,46265,45169,nan,nan
Bulgaria,Urban,97769,98836,96725,92725,nan
Bulgaria,Rural,46899,46093,44977,43663,nan
Faeroe Islands,Urban,248,239,nan,nan,nan
Faeroe Islands,Rural,533,517,nan,nan,nan
Finland,Urban,42068,42688,42022,40256,nan
Finland,Rural,23651,24158,23637,23727,nan
German Democratic Republic,Urban,nan,146557,168522,175204,nan
German Democratic Republic,Rural,nan,46444,48926,54630,58947
Greece,Urban,86517,91026,90250,92678,nan
Greece,Rural,55757,55540,53489,53910,nan
Hungary,Urban,97349,93404,91181,86275,nan
Hungary,Rural,96862,91962,86320,81817,nan
Iceland,Urban,3810,3755,3471,nan,nan
Iceland,Rural,574,536,525,nan,nan
Luxembourg,Urban,302652,2687,2714,2684,nan
Luxembourg,Rural,301330,1228,1339,1408,nan
Netherlands,Urban,80355,85822,83726,85576,nan
Netherlands,Semi-urban,49495,67677,68052,68280,nan
Netherlands,Rural,47985,23780,23486,23659,nan
Norway,Urban,25382,24145,22519,23074,nan
Norway,Rural,30983,29329,28358,28675,nan
Poland,Urban,324027,348415,352397,358738,nan
Poland,Rural,319745,321725,310185,307598,nan
Romania,Urban,177996,184435,193845,nan,nan
Romania,Rural,240189,232918,230313,nan,nan
United Kingdom Scotland,Urban,59572,56141,53808,nan,nan
United Kingdom Scotland,Rural,nan,nan,8534,nan,nan
Australia,Urban,2833,nan,328,2838,252
Australia,Rural,309,nan,nan,nan,nan
New Zealand,Urban,nan,18069,17750,16933,nan
New Zealand,Rural,37882,37038,38429,34096,nan
Pacific Islands,Urban,1782,1799,nan,nan,nan
Pacific Islands,Rural,2235,2176,nan,nan,nan
