Country,Extra Info,2021,2022,2023,2024
Algeria,Total,949 799,915 223,895 140,nan
Botswana,Total,50 962,48 464,46 352,nan
Burundi,Total,373 002,371 731,368 538,nan
Cabo Verde,Total,8 646,8 047,6 760,nan
Côte d'Ivoire,Total,701 565,nan,nan,nan
Djibouti,Total,14 370,nan,nan,nan
Egypt,Total,2 184 581,2 192 947,1 837 441,nan
Anguilla,Total,160,114,119,124
Antigua and Barbuda,Total,nan,nan,nan,nan
Aruba,Total,1 019,915,856,820
Barbados,Total,2 205,2 247,1 601,nan
Belize,Total,6 654,7 039,6 337,nan
Bermuda,Total,494,479,436,nan
British Virgin Islands,Total,272,nan,nan,nan
Canada,Total,367 684,351 680,351 880,nan
Cayman Islands,Total,838,798,760,nan
Costa Rica,Total,54 288,53 435,50 205,45 825
Cuba,Total,99 096,95 403,90 392,nan
Curaçao,Total,1 309,1 232,1 176,1 121
Dominican Republic,Total,172 457,172 074,163 768,137 946
Greenland,Total,761,746,716,684
Grenada,Total,1 611,1 469,1 380,nan
Guadeloupe,Total,4 366,4 241,4 082,nan
Guatemala,Total,149 345,869 345,694 342,299 256
Jamaica,Total,33 126,31 276,nan,nan
Martinique,Total,3 672,3 537,3 362,nan
Mexico,Total,1 571 595,nan,nan,nan
Montserrat,Total,43,35,25,28
Nicaragua,Total,120 473,119 213,106 439,nan
Panama,Total,66 498,63 920,59 907,59 729
Puerto Rico,Total,19 377,19 171,18 658,18 146
Saint Barthélemy,Total,2,4,nan,nan
Saint Lucia,Total,nan,nan,nan,nan
Saint Pierre and Miquelon,Total,43,38,30,nan
Saint Vincent and the Grenadines,Total,1 370,1 264,1 212,nan
Saint-Martin (French part),Total,550,536,530,nan
United States of America,Total,3 667 758,3 596 017,3 628 934,nan
Argentina,Total,529 794,495 295,460 902,nan
Brazil,Total,2 635 854,2 542 298,nan,nan
Chile,Total,177 273,189 303,174 067,154 441
Colombia,Total,616 914,573 625,515 549,445 011
Ecuador,Total,251 978,251 034,238 772,nan
French Guiana,Total,8 162,7 735,7 707,nan
Paraguay,Total,112 966,111 992,99 965,nan
Peru,Total,462 658,465 972,410 372,nan
Suriname,Total,10 252,9 254,8 926,nan
Uruguay,Total,34 603,32 301,nan,nan
Armenia,Total,36 623,36 375,36 590,33 593
Azerbaijan,Total,112 284,122 846,112 620,102 310
Bahrain,Total,17 805,17 801,nan,nan
Bangladesh,Total,3 197 269,3 362 669,3 317 383,nan
Bhutan,Total,10 233,10 248,9 711,nan
Brunei Darussalam,Total,6 751,6 254,6 290,nan
China,Total,10 620 000,9 560 000,9 020 000,nan
China, Hong Kong SAR,Total,36 953,32 501,33 232,nan
China, Macao SAR,Total,5 026,4 344,3 712,3 607
Cyprus,Total,10 309,10 197,10 241,nan
Georgia,Total,45 946,42 319,40 214,39 483
India,Total,nan,nan,nan,nan
Iran,Total,1 116 212,1 075 231,1 057 948,nan
Iraq,Total,nan,nan,852 089,nan
Israel,Total,185 040,181 193,178 724,181 609
Japan,Total,811 622,770 759,727 288,nan
Jordan,Total,187 722,192 266,nan,nan
Kazakhstan,Total,446 491,403 893,388 428,365 923
Kuwait,Total,51 585,49 793,50 004,nan
Kyrgyzstan,Total,150 164,150 225,145 977,140 419
Malaysia,Total,439 744,423 124,455 761,nan
Maldives,Total,5 917,nan,nan,nan
Mongolia,Total,66 910,66 234,66 234,nan
Myanmar,Total,nan,635 227,nan,nan
Nepal,Total,nan,nan,nan,nan
Oman,Total,nan,nan,nan,nan
Philippines,Total,nan,nan,nan,nan
Qatar,Total,26 319,26 316,27 414,nan
Republic of Korea,Total,260 562,249 186,230 028,nan
Saudi Arabia,Total,411 687,417 155,nan,nan
Singapore,Total,38 672,35 605,33 703,nan
Sri Lanka,Total,nan,nan,nan,nan
State of Palestine,Total,nan,nan,nan,nan
Tajikistan,Total,nan,230 654,nan,251 553
Thailand,Total,526 469,485 085,498 988,462 240
Timor-Leste,Total,nan,28 316,nan,nan
Türkiye,Total,1 079 842,1 035 795,958 408,937 559
United Arab Emirates,Total,92 777,96 631,101 088,nan
Uzbekistan,Total,905 211,932 217,961 962,926 422
Yemen,Total,nan,205 730,220 195,nan
Åland Islands,Total,293,245,259,218
Albania,Total,27 211,24 688,23 617,23 310
Andorra,Total,503,502,458,501
Austria,Total,86 078,82 627,77 605,77 238
Belarus,Total,nan,nan,nan,58 938
Belgium,Total,118 349,114 095,110 785,109 280
Bosnia and Herzegovina,Total,27 143,26 687,24 938,24 598
Bulgaria,Total,58 678,56 596,57 197,53 428
Croatia,Total,36 508,33 883,32 170,32 069
Czechia,Total,111 793,101 299,91 149,nan
Denmark,Total,60 937,37 715,34 083,nan
Estonia,Total,13 272,11 646,10 949,9 690
Faroe Islands,Total,685,630,572,583
Finland,Total,49 594,44 951,43 383,43 720
France,Total,701 819,686 564,639 533,629 000
Germany,Total,795 492,738 819,692 989,677 117
Greece,Total,85 346,75 921,71 249,nan
Guernsey,Total,520,488,451,nan
Hungary,Total,94 003,89 669,87 671,77 511
Iceland,Total,4 879,4 391,4 315,4 311
Ireland,Total,60 553,54 411,54 472,54 062
Isle of Man,Total,675,585,601,579
Italy,Total,400 249,393 333,379 890,nan
Jersey,Total,890,835,795,716
Latvia,Total,17 420,15 954,14 490,12 887
Liechtenstein,Total,375,364,361,nan
Lithuania,Total,23 330,22 186,20 623,19 086
Luxembourg,Total,6 690,6 495,6 320,6 459
Malta,Total,4 395,4 309,4 462,nan
Monaco,Total,nan,nan,nan,nan
Montenegro,Total,7 033,7 021,7 008,6 977
Netherlands,Total,179 441,167 504,164 487,166 143
North Macedonia,Total,18 648,18 073,16 737,15 662
Norway,Total,56 060,51 480,51 983,53 940
Poland,Total,331 519,305 132,272 451,nan
Portugal,Total,79 582,83 671,nan,nan
Republic of Moldova,Total,29 230,26 952,24 123,23 648
Romania,Total,193 191,178 233,160 078,148 916
Russian Federation,Total,1 402 834,1 306 162,1 264 938,1 222 408
San Marino,Total,212,205,191,nan
Serbia,Total,62 180,62 700,61 052,60 845
Slovakia,Total,56 565,52 668,48 627,46 241
Slovenia,Total,18 984,17 627,16 989,16 875
Spain,Total,336 823,328 704,319 830,318 579
Sweden,Total,114 263,104 734,100 051,nan
Switzerland,Total,89 644,82 371,80 024,78 256
Ukraine,Total,271 983,nan,nan,nan
United Kingdom,Total,692 544,673 275,656 969,nan
American Samoa,Total,706,706,737,nan
Australia,Total,309 996,300 684,286 998,nan
Cook Islands,Total,202,233,212,201
Fiji,Total,20 217,nan,nan,nan
French Polynesia,Total,3 736,3 648,3 530,3 286
Guam,Total,2 646,nan,2 390,2 370
New Caledonia,Total,3 931,3 805,3 358,nan
New Zealand,Total,58 659,58 884,56 955,58 341
Niue,Total,19,25,20,22
Palau,Total,224,155,183,nan
Samoa,Total,nan,nan,nan,nan
Tonga,Total,nan,nan,nan,nan
Tuvalu,Total,276,267,232,nan
